,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1343,167,1,3/6/20,3/13/20,"5,578,323",Bazzi,4421378,5RsKelNxucrDxgMbZ3vd3W,"['dance pop', 'electropop', 'pop', 'post-teen pop']",pop,-5.486,0.0425,0.326,0.119,86.005,160465,0.495,D#/Eb
1344,169,2,3/6/20,3/13/20,"5,547,770","Lauv, Troye Sivan",4442273,4vjpLMyL3ZO6aphdYr8XYw,"['dance pop', 'electropop', 'pop', 'post-teen pop']",pop,-7.058,0.203,0.176,0.242,102.211,162583,0.534,B
1345,53,4,2/14/20,2/21/20,"5,487,069",A Boogie Wit da Hoodie,5865895,733c1CWmIGymoQXdp7Us88,"['melodic rap', 'pop rap', 'rap', 'trap']",rap,-6.665,0.136,0.517,0.0996,133.503,188563,0.455,B
1346,105,6,2/14/20,2/21/20,"5,434,180",Myke Towers,6161098,43NqTeL8pgBxKHPMiJKUP5,['trap latino'],rap,-4.957,0.0937,0.0325,0.324,93.021,186427,0.694,F#/Gb
1347,104,2,2/28/20,3/6/20,"5,359,969","Bad Bunny, Myke Towers",36177712,5gCg2qMPzKkW4jS4dBKdDs,"['latin', 'reggaeton', 'trap latino']",latin,-5.342,0.221,0.311,0.1,139.968,190207,0.658,E
1348,114,5,2/14/20,2/21/20,"5,325,447","Daddy Yankee, Sech",23936368,113PlnpZbHd3WIqeYjhZWv,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",latin,-3.39,0.105,0.586,0.253,100.047,217773,0.429,G#/Ab
1349,41,11,1/3/20,1/10/20,"5,315,827",Ed Sheeran,83337783,4vUmTMuQqjdnvlZmAH61Qk,"['pop', 'uk pop']",pop,-6.376,0.0825,0.148,0.0865,97.989,204467,0.668,A
1350,190,1,3/6/20,3/13/20,"5,251,918",Post Malone,33663701,75ZvA4QfFiZvzhj2xkaWAh,"['dfw rap', 'melodic rap', 'rap']",rap,-5.408,0.0382,0.0689,0.196,143.95,223347,0.291,G#/Ab
1351,191,1,3/6/20,3/13/20,"5,226,991",Lauv,4442273,09PGubKAMryhOWv1LHpCYz,"['dance pop', 'electropop', 'pop', 'post-teen pop']",pop,-6.46,0.0683,0.482,0.0618,95.016,198973,0.678,A
1352,78,11,12/27/19,1/3/20,"5,206,102","Lunay, Ozuna, Anuel AA",4963516,37zdqI4r1gswIzczSBkRon,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",latin,-3.208,0.0422,0.223,0.101,92.025,217130,0.876,F
1353,12,9,1/10/20,1/17/20,"5,195,842",Selena Gomez,28931149,7HMmFQsKsljwTw8bS7lu19,"['dance pop', 'pop', 'post-teen pop']",pop,-6.713,0.0706,0.208,0.103,114.998,220590,0.631,F
1354,69,11,1/10/20,1/17/20,"5,121,486",DaBaby,7601122,0fySG6A6qLE8IvDpayb5bM,"['north carolina hip hop', 'rap']",hip hop,-2.708,0.307,0.113,0.107,154.187,144935,0.777,C#/Db
1355,69,7,1/3/20,1/10/20,"5,110,064","Lauv, LANY",4442273,3uc8AGNL0KbvISIrjnfRvN,"['dance pop', 'electropop', 'pop', 'post-teen pop']",pop,-8.543,0.0872,0.0407,0.172,95.998,232853,0.336,G
1356,49,1,2/28/20,3/6/20,"12,059,592",Lil Uzi Vert,11821805,5raTDhlbxFDnpn89bxArdH,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-5.01,0.0403,0.0582,0.155,129.962,212354,0.489,G
1357,106,1,2/28/20,3/6/20,"7,410,327",Lil Baby,7816213,6AyWdCtEn1DdxjnxPeojR2,"['atl hip hop', 'atl trap', 'rap', 'trap']",hip hop,-3.244,0.177,0.0345,0.0986,147.004,173061,0.21,F#/Gb
1358,123,1,2/28/20,3/6/20,"6,540,577",Lil Baby,7816213,3tDqEKKUs6gf8zMvSuLyLA,"['atl hip hop', 'atl trap', 'rap', 'trap']",hip hop,-8.637,0.384,0.048,0.146,120.998,214215,0.535,B
1359,75,6,1/10/20,1/17/20,"6,497,610",Lil Baby,7816213,2u3EyuCqqV31woqGvO9LBz,"['atl hip hop', 'atl trap', 'rap', 'trap']",hip hop,-7.57,0.324,0.0174,0.122,124.038,205760,0.418,E
1360,47,2,2/21/20,2/28/20,"5,913,946",BTS,37151476,0ono6UCNVZ1XqOm6j78Blu,"['k-pop', 'k-pop boy group']",pop,-5.188,0.0626,0.0222,0.121,110.042,180221,0.86,A#/Bb
1361,151,1,2/28/20,3/6/20,"5,724,739",Apache 207,1674348,7ygVaACDENw4PgLbN1awFE,['german hip hop'],hip hop,-8.766,0.291,0.768,0.272,114.957,183793,0.418,A
